Dataset Name,Algorithm Name,Cross Validation[1-10],AUC
analcatdata_germangss,Provably Robust Boosting,7,0.6325000000000001
analcatdata_germangss,XBART,7,0.6058333333333333
analcatdata_germangss,Adaboost,8,0.72
analcatdata_germangss,LightGBM,8,0.7600000000000001
analcatdata_germangss,Provably Robust Boosting,8,0.6233333333333333
analcatdata_germangss,XBART,8,0.6416666666666667
analcatdata_germangss,Adaboost,9,0.6816666666666668
analcatdata_germangss,LightGBM,9,0.7025000000000001
analcatdata_germangss,Provably Robust Boosting,9,0.4941666666666666
analcatdata_germangss,XBART,9,0.5866666666666667
analcatdata_lawsuit,Adaboost,0,1.0
analcatdata_lawsuit,LightGBM,0,1.0
analcatdata_lawsuit,Provably Robust Boosting,0,0.5
analcatdata_lawsuit,XBART,0,1.0
analcatdata_lawsuit,Adaboost,1,0.96
analcatdata_lawsuit,LightGBM,1,0.97
analcatdata_lawsuit,Provably Robust Boosting,1,0.5
analcatdata_lawsuit,XBART,1,0.98
analcatdata_lawsuit,Adaboost,2,1.0
analcatdata_lawsuit,LightGBM,2,1.0
analcatdata_lawsuit,Provably Robust Boosting,2,0.5
analcatdata_lawsuit,XBART,2,1.0
analcatdata_lawsuit,Adaboost,3,1.0
analcatdata_lawsuit,LightGBM,3,1.0
analcatdata_lawsuit,Provably Robust Boosting,3,0.5
analcatdata_lawsuit,XBART,3,1.0
analcatdata_lawsuit,Adaboost,4,1.0
analcatdata_lawsuit,LightGBM,4,1.0
analcatdata_lawsuit,Provably Robust Boosting,4,0.5
analcatdata_lawsuit,XBART,4,1.0
analcatdata_lawsuit,Adaboost,5,1.0
analcatdata_lawsuit,LightGBM,5,1.0
analcatdata_lawsuit,Provably Robust Boosting,5,0.5
analcatdata_lawsuit,XBART,5,1.0
analcatdata_lawsuit,Adaboost,6,1.0
analcatdata_lawsuit,LightGBM,6,1.0
analcatdata_lawsuit,Provably Robust Boosting,6,0.5
analcatdata_lawsuit,XBART,6,1.0
analcatdata_lawsuit,Adaboost,7,0.9583333333333334
analcatdata_lawsuit,LightGBM,7,0.9583333333333334
analcatdata_lawsuit,Provably Robust Boosting,7,0.5
analcatdata_lawsuit,XBART,7,0.9791666666666669
analcatdata_lawsuit,Adaboost,8,1.0
analcatdata_lawsuit,LightGBM,8,1.0
analcatdata_lawsuit,Provably Robust Boosting,8,0.5
analcatdata_lawsuit,XBART,8,1.0
analcatdata_lawsuit,Adaboost,9,0.96
analcatdata_lawsuit,LightGBM,9,1.0
analcatdata_lawsuit,Provably Robust Boosting,9,0.5
analcatdata_lawsuit,XBART,9,1.0
annealing,Adaboost,0,0.9240652211971744
annealing,LightGBM,0,0.9733402727032842
annealing,Provably Robust Boosting,0,0.8395713511854017
annealing,XBART,0,0.9828374157634068
annealing,Adaboost,1,0.7836798260971056
annealing,LightGBM,1,0.9948130049121098
annealing,Provably Robust Boosting,1,0.8648556687167621
annealing,XBART,1,0.9710151397515528
annealing,Adaboost,2,0.8716541831174667
annealing,LightGBM,2,0.9946320738440304
annealing,Provably Robust Boosting,2,0.9112274933005168
annealing,XBART,2,0.9694257316593642
annealing,Adaboost,3,0.9388727139406488
annealing,LightGBM,3,0.9880970562095752
annealing,Provably Robust Boosting,3,0.8788376298479584
annealing,XBART,3,0.993452057453416
annealing,Adaboost,4,0.8119176567806751
annealing,LightGBM,4,0.9950367647058824
annealing,Provably Robust Boosting,4,0.8023227157100518
annealing,XBART,4,0.99024064171123
annealing,Adaboost,5,0.8183698195187166
annealing,LightGBM,5,1.0
annealing,Provably Robust Boosting,5,0.9379345135507652
annealing,XBART,5,0.9085680201708286
annealing,Adaboost,6,0.7932143029720102
annealing,LightGBM,6,0.993634692513369
annealing,Provably Robust Boosting,6,0.8735333019434499
annealing,XBART,6,0.9800850604480564
annealing,Adaboost,7,0.9006158088235294
annealing,LightGBM,7,0.9833372326203208
annealing,Provably Robust Boosting,7,0.8628996198698538
annealing,XBART,7,0.9766176470588236
annealing,Adaboost,8,0.94375
annealing,LightGBM,8,0.9944444444444444
annealing,Provably Robust Boosting,8,0.8884314650657011
annealing,XBART,8,0.9900180905695612
annealing,Adaboost,9,0.7993542353650321
annealing,LightGBM,9,0.9945258483140093
annealing,Provably Robust Boosting,9,0.9042727926918822
annealing,XBART,9,0.9395556323795342
ar4,Adaboost,0,0.8888888888888891
ar4,LightGBM,0,1.0
ar4,Provably Robust Boosting,0,0.5
ar4,XBART,0,1.0
ar4,Adaboost,1,0.6111111111111112
ar4,LightGBM,1,0.6666666666666667
ar4,Provably Robust Boosting,1,0.5
ar4,XBART,1,0.6666666666666667
ar4,Adaboost,2,0.9444444444444444
ar4,LightGBM,2,0.8611111111111112
ar4,Provably Robust Boosting,2,0.5
ar4,XBART,2,0.9444444444444444
ar4,Adaboost,3,0.2222222222222222
ar4,LightGBM,3,0.11111111111111116
ar4,Provably Robust Boosting,3,0.5
ar4,XBART,3,0.4444444444444444
ar4,Adaboost,4,1.0
ar4,LightGBM,4,0.9444444444444444
ar4,Provably Robust Boosting,4,0.5
ar4,XBART,4,0.8333333333333334
ar4,Adaboost,5,1.0
ar4,LightGBM,5,1.0
ar4,Provably Robust Boosting,5,0.5
ar4,XBART,5,1.0
ar4,Adaboost,6,0.4444444444444444
ar4,LightGBM,6,0.5
ar4,Provably Robust Boosting,6,0.5
ar4,XBART,6,0.6666666666666667
ar4,Adaboost,7,0.875
ar4,LightGBM,7,0.875
ar4,Provably Robust Boosting,7,0.5
ar4,XBART,7,1.0
ar4,Adaboost,8,1.0
ar4,LightGBM,8,0.875
ar4,Provably Robust Boosting,8,0.5
ar4,XBART,8,0.9375
ar4,Adaboost,9,0.6875
ar4,LightGBM,9,0.5625
ar4,Provably Robust Boosting,9,0.5
ar4,XBART,9,0.75
arrhythmia,Adaboost,0,0.6890237531842751
arrhythmia,LightGBM,0,0.8620116674219528
arrhythmia,Provably Robust Boosting,0,0.8547373099859393
arrhythmia,XBART,0,0.5
arrhythmia,Adaboost,1,0.6444429040879219
arrhythmia,LightGBM,1,0.9422805888886434
arrhythmia,Provably Robust Boosting,1,0.8067234984331788
arrhythmia,XBART,1,0.6689718166821589
arrhythmia,Adaboost,2,0.8352656092113456
arrhythmia,LightGBM,2,0.9119909765801238
arrhythmia,Provably Robust Boosting,2,0.6506260314477369
arrhythmia,XBART,2,0.5
arrhythmia,Adaboost,3,0.7638949685112476
arrhythmia,LightGBM,3,0.9223505374900725
arrhythmia,Provably Robust Boosting,3,0.8015023956806904
arrhythmia,XBART,3,0.4814026197747128
arrhythmia,Adaboost,4,0.8074523203384991
arrhythmia,LightGBM,4,0.877181596370479
arrhythmia,Provably Robust Boosting,4,0.7323672610555764
arrhythmia,XBART,4,0.4536188294909225
arrhythmia,Adaboost,5,0.5902119030385243
arrhythmia,LightGBM,5,0.894094976086846
arrhythmia,Provably Robust Boosting,5,0.7488120227111529
arrhythmia,XBART,5,0.5
arrhythmia,Adaboost,6,0.6253780046273901
arrhythmia,LightGBM,6,0.8656068777339339
arrhythmia,Provably Robust Boosting,6,0.7185627946173418
arrhythmia,XBART,6,0.4510319513368294
arrhythmia,Adaboost,7,0.6497283656869589
arrhythmia,LightGBM,7,0.9362372957532724
arrhythmia,Provably Robust Boosting,7,0.8024366519001611
arrhythmia,XBART,7,0.4510319513368294
arrhythmia,Adaboost,8,0.698420280604531
arrhythmia,LightGBM,8,0.9106729314046388
arrhythmia,Provably Robust Boosting,8,0.8714644950436214
arrhythmia,XBART,8,0.4587716117135667
arrhythmia,Adaboost,9,0.6048524418027159
arrhythmia,LightGBM,9,0.9121095540664458
arrhythmia,Provably Robust Boosting,9,0.7223190902533879
arrhythmia,XBART,9,0.472176490344386
audiology-std,Adaboost,0,0.9311111111111112
audiology-std,LightGBM,0,0.9606944444444444
audiology-std,Provably Robust Boosting,0,0.905844298245614
audiology-std,XBART,0,0.7001608187134503
audiology-std,Adaboost,1,0.8802960526315791
audiology-std,LightGBM,1,0.93625
audiology-std,Provably Robust Boosting,1,0.9287682748538012
